Date,Product,Region,Quantity
2025-01-30,Electronics,North,75
2025-01-30,Clothing,North,69
2025-01-30,Home_Decor,North,72
2025-01-30,Perishables,North,74
2025-01-30,Industrial_Parts,North,183
2025-01-30,Electronics,South,137
2025-01-30,Clothing,South,190
2025-01-30,Home_Decor,South,143
2025-01-30,Perishables,South,160
2025-01-30,Industrial_Parts,South,168
2025-01-30,Electronics,East,154
2025-01-30,Clothing,East,154
2025-01-30,Home_Decor,East,96
2025-01-30,Perishables,East,54
2025-01-30,Industrial_Parts,East,114
2025-01-30,Electronics,West,114
2025-01-30,Clothing,West,181
2025-01-30,Home_Decor,West,148
2025-01-30,Perishables,West,104
2025-01-30,Industrial_Parts,West,167
2025-01-31,Electronics,North,48
2025-01-31,Clothing,North,47
2025-01-31,Home_Decor,North,128
2025-01-31,Perishables,North,152
2025-01-31,Industrial_Parts,North,109
2025-01-31,Electronics,South,193
2025-01-31,Clothing,South,165
2025-01-31,Home_Decor,South,63
2025-01-31,Perishables,South,77
2025-01-31,Industrial_Parts,South,122
2025-01-31,Electronics,East,86
2025-01-31,Clothing,East,142
2025-01-31,Home_Decor,East,188
2025-01-31,Perishables,East,165
2025-01-31,Industrial_Parts,East,48
2025-01-31,Electronics,West,159
2025-01-31,Clothing,West,95
2025-01-31,Home_Decor,West,182
2025-01-31,Perishables,West,133
2025-01-31,Industrial_Parts,West,118
2025-02-01,Electronics,North,171
2025-02-01,Clothing,North,70
2025-02-01,Home_Decor,North,97
2025-02-01,Perishables,North,164
2025-02-01,Industrial_Parts,North,104
2025-02-01,Electronics,South,125
2025-02-01,Clothing,South,141
2025-02-01,Home_Decor,South,127
2025-02-01,Perishables,South,152
2025-02-01,Industrial_Parts,South,66
2025-02-01,Electronics,East,151
2025-02-01,Clothing,East,147
2025-02-01,Home_Decor,East,121
2025-02-01,Perishables,East,55
2025-02-01,Industrial_Parts,East,92
2025-02-01,Electronics,West,172
2025-02-01,Clothing,West,139
2025-02-01,Home_Decor,West,138
2025-02-01,Perishables,West,70
2025-02-01,Industrial_Parts,West,64
2025-02-02,Electronics,North,168
2025-02-02,Clothing,North,132
2025-02-02,Home_Decor,North,73
2025-02-02,Perishables,North,160
2025-02-02,Industrial_Parts,North,111
2025-02-02,Electronics,South,193
2025-02-02,Clothing,South,74
2025-02-02,Home_Decor,South,84
2025-02-02,Perishables,South,91
2025-02-02,Industrial_Parts,South,178
2025-02-02,Electronics,East,142
2025-02-02,Clothing,East,110
2025-02-02,Home_Decor,East,126
2025-02-02,Perishables,East,69
2025-02-02,Industrial_Parts,East,88
2025-02-02,Electronics,West,63
2025-02-02,Clothing,West,101
2025-02-02,Home_Decor,West,80
2025-02-02,Perishables,West,140
2025-02-02,Industrial_Parts,West,96
2025-02-03,Electronics,North,137
2025-02-03,Clothing,North,107
2025-02-03,Home_Decor,North,123
2025-02-03,Perishables,North,71
2025-02-03,Industrial_Parts,North,186
2025-02-03,Electronics,South,135
2025-02-03,Clothing,South,100
2025-02-03,Home_Decor,South,118
2025-02-03,Perishables,South,124
2025-02-03,Industrial_Parts,South,144
2025-02-03,Electronics,East,153
2025-02-03,Clothing,East,208
2025-02-03,Home_Decor,East,74
2025-02-03,Perishables,East,45
2025-02-03,Industrial_Parts,East,72
2025-02-03,Electronics,West,122
2025-02-03,Clothing,West,95
2025-02-03,Home_Decor,West,63
2025-02-03,Perishables,West,73
2025-02-03,Industrial_Parts,West,111
2025-02-04,Electronics,North,103
2025-02-04,Clothing,North,118
2025-02-04,Home_Decor,North,111
2025-02-04,Perishables,North,118
2025-02-04,Industrial_Parts,North,62
2025-02-04,Electronics,South,140
2025-02-04,Clothing,South,141
2025-02-04,Home_Decor,South,96
2025-02-04,Perishables,South,112
2025-02-04,Industrial_Parts,South,147
2025-02-04,Electronics,East,89
2025-02-04,Clothing,East,177
2025-02-04,Home_Decor,East,138
2025-02-04,Perishables,East,72
2025-02-04,Industrial_Parts,East,127
2025-02-04,Electronics,West,96
2025-02-04,Clothing,West,175
2025-02-04,Home_Decor,West,86
2025-02-04,Perishables,West,152
2025-02-04,Industrial_Parts,West,170
2025-02-05,Electronics,North,93
2025-02-05,Clothing,North,166
2025-02-05,Home_Decor,North,138
2025-02-05,Perishables,North,73
2025-02-05,Industrial_Parts,North,192
2025-02-05,Electronics,South,96
2025-02-05,Clothing,South,56
2025-02-05,Home_Decor,South,74
2025-02-05,Perishables,South,149
2025-02-05,Industrial_Parts,South,202
2025-02-05,Electronics,East,152
2025-02-05,Clothing,East,159
2025-02-05,Home_Decor,East,135
2025-02-05,Perishables,East,173
2025-02-05,Industrial_Parts,East,119
2025-02-05,Electronics,West,149
2025-02-05,Clothing,West,151
2025-02-05,Home_Decor,West,183
2025-02-05,Perishables,West,152
2025-02-05,Industrial_Parts,West,155
2025-02-06,Electronics,North,142
2025-02-06,Clothing,North,66
2025-02-06,Home_Decor,North,113
2025-02-06,Perishables,North,62
2025-02-06,Industrial_Parts,North,119
2025-02-06,Electronics,South,82
2025-02-06,Clothing,South,160
2025-02-06,Home_Decor,South,180
2025-02-06,Perishables,South,142
