Origin,Destination,Mode,Distance,Weight,Cost,Delay_Hours
New York,Chicago,Road,1175,4788,1122.36,2.53
Houston,Miami,Road,1574,919,946.06,1.39
New York,Los Angeles,Air,1381,2756,2436.42,0.12
Seattle,Houston,Rail,1850,95,670.77,3.86
New York,Boston,Air,1005,3910,2276.71,0.01
New York,Los Angeles,Rail,2692,1283,907.77,1.67
Miami,Houston,Road,289,4362,621.1,1.08
Houston,New York,Rail,355,4997,613.46,0.43
Los Angeles,New York,Road,384,3223,546.33,1.37
Boston,Chicago,Road,1002,3104,918.88,4.25
Los Angeles,Seattle,Road,1027,4831,928.39,2.07
Boston,Los Angeles,Air,1448,4955,2517.08,0.13
Boston,New York,Air,2438,4215,4245.19,0.02
Seattle,Miami,Road,1783,4965,1542.99,7.68
Houston,Seattle,Air,1585,3160,2709.72,0.12
Los Angeles,Houston,Air,2502,939,4044.04,0.3
Houston,Atlanta,Road,839,2078,655.99,4.07
Seattle,New York,Rail,2757,1633,936.47,0.7
Chicago,Boston,Sea,2068,3271,520.09,5.74
Boston,Los Angeles,Sea,2555,4757,717.84,19.8
Seattle,Boston,Rail,1662,2831,747.0,1.11
Los Angeles,Boston,Rail,2330,4835,1253.51,0.22
Houston,Chicago,Rail,2032,1825,927.67,3.45
Boston,Houston,Sea,667,905,164.93,5.81
Los Angeles,Seattle,Sea,594,1241,173.03,3.38
New York,Miami,Road,2384,3551,1671.48,3.27
Seattle,Atlanta,Air,462,4840,1332.39,0.06
Chicago,Miami,Air,256,270,374.82,0.03
Chicago,Seattle,Road,2554,1837,1607.88,12.72
Boston,Miami,Sea,1359,3768,525.33,10.78
Boston,Chicago,Road,1535,2568,971.87,0.91
Seattle,Miami,Air,553,3617,1256.06,0.01
Houston,Boston,Road,453,1779,476.15,1.46
Boston,Los Angeles,Air,537,1918,940.93,0.0
Miami,Seattle,Air,2288,355,4094.7,0.06
Houston,Los Angeles,Road,2486,1959,1360.09,11.66
Houston,Los Angeles,Rail,2134,4171,1011.6,0.3
Miami,Los Angeles,Sea,1666,4620,722.23,4.4
Atlanta,Miami,Rail,2064,4902,1102.63,2.09
Seattle,New York,Sea,1560,4163,552.14,10.63
Miami,New York,Sea,2279,4937,664.9,21.26
Miami,Houston,Air,1281,2654,2057.14,0.05
Miami,Boston,Road,2418,3363,1635.34,10.54
Chicago,New York,Air,1989,3392,3385.79,0.01
Miami,New York,Rail,1121,3277,616.26,0.28
Seattle,Miami,Road,2974,4799,2096.63,13.6
Boston,Seattle,Sea,2987,916,366.11,26.51
Los Angeles,New York,Sea,2212,70,241.81,9.33
Houston,Boston,Air,313,2793,805.05,0.02
Los Angeles,Seattle,Sea,1686,2307,456.51,8.26
Miami,Boston,Air,375,4819,1092.94,0.02
Chicago,Houston,Air,1974,1818,3214.76,0.15
Atlanta,Seattle,Air,621,4588,1667.85,0.04
Boston,New York,Air,2870,30,5016.98,0.27
Boston,Houston,Road,1753,2480,1317.57,1.92
New York,Boston,Air,1751,4669,3271.88,0.19
New York,Seattle,Sea,2427,3006,641.42,6.62
Seattle,Los Angeles,Road,1780,1779,1124.74,5.2
Seattle,Miami,Sea,1227,1972,311.13,2.55
Boston,Miami,Road,2719,2671,1803.15,11.97
Miami,Boston,Road,1046,1225,605.67,2.28
Los Angeles,Seattle,Road,2253,2923,1360.1,5.21
Miami,Seattle,Sea,2509,4830,793.69,13.93
Boston,Miami,Sea,477,3861,498.65,3.67
Atlanta,Seattle,Air,1065,4079,2368.12,0.05
Houston,Atlanta,Air,204,4506,802.26,0.0
Miami,Houston,Sea,2891,3338,682.84,0.23
Los Angeles,Seattle,Road,1462,2008,937.81,4.7
Atlanta,Chicago,Rail,2208,3467,955.14,2.68
Miami,Chicago,Rail,1983,3269,921.54,1.01
New York,Chicago,Road,1253,1153,780.12,4.62
Houston,New York,Rail,671,563,254.75,0.27
Boston,New York,Road,1761,1189,1065.78,4.24
Chicago,Seattle,Sea,937,2030,316.6,8.75
Boston,Miami,Road,1260,20,652.91,0.98
Seattle,Los Angeles,Rail,2579,4449,1125.62,5.36
Los Angeles,Miami,Air,1095,4518,2136.14,0.01
Seattle,Atlanta,Sea,1633,2895,439.72,17.64
Seattle,Los Angeles,Rail,380,4862,685.45,0.06
Los Angeles,Seattle,Air,2115,596,3459.45,0.01
Chicago,Los Angeles,Sea,1084,362,148.08,5.9
New York,Los Angeles,Road,1373,410,704.37,2.65
Miami,Atlanta,Rail,810,4401,620.17,1.27
Atlanta,New York,Sea,2909,1874,445.0,8.7
Houston,Atlanta,Rail,2657,1161,1073.26,0.33
Atlanta,Boston,Road,1836,3484,1265.19,2.14
Seattle,Houston,Rail,2363,3892,1005.94,4.26
Boston,Miami,Road,735,4080,891.52,0.04
Atlanta,Houston,Road,2826,2568,1831.32,8.38
Miami,Houston,Rail,719,3783,593.9,0.95
Miami,Houston,Rail,324,2127,316.11,0.56
Chicago,Boston,Air,398,4291,1156.0,0.01
Boston,Houston,Road,625,4941,726.26,0.89
Chicago,New York,Rail,341,270,117.28,0.12
Seattle,Houston,Road,778,4467,837.5,0.08
Seattle,Boston,Rail,1561,786,634.83,0.26
Chicago,Boston,Road,1682,3546,1080.85,8.01
Houston,Chicago,Road,1603,2466,1022.69,6.13
Atlanta,Seattle,Air,856,727,1316.03,0.07
Los Angeles,Houston,Road,2830,2176,1635.07,8.15
Miami,Boston,Rail,2656,4965,1303.54,4.94
New York,Los Angeles,Rail,1257,4149,897.56,0.14
Miami,Boston,Rail,1097,1704,531.76,0.83
Boston,New York,Air,1596,675,2536.32,0.06
Miami,New York,Road,1164,786,740.1,0.81
New York,Chicago,Sea,1324,3195,473.19,6.67
Atlanta,Chicago,Air,601,3785,1223.98,0.06
Chicago,Houston,Sea,1625,3052,539.29,11.89
Boston,Los Angeles,Rail,2959,4112,1551.14,4.16
Atlanta,Boston,Air,2574,709,4280.77,0.3
Atlanta,Miami,Air,2542,3040,4024.24,0.18
New York,Seattle,Road,1102,2745,945.61,3.26
Boston,Chicago,Air,1930,3369,2956.1,0.14
New York,Los Angeles,Rail,1120,543,461.5,1.76
Seattle,Houston,Sea,664,2891,325.9,4.25
Chicago,Atlanta,Sea,1273,1876,298.01,16.15
Los Angeles,New York,Sea,2026,1043,318.43,8.96
Miami,Seattle,Air,2098,4435,3232.23,0.03
Boston,New York,Rail,1501,422,466.98,3.62
New York,Seattle,Air,2216,1252,3409.78,0.14
Chicago,New York,Air,1226,1206,1832.25,0.02
